"Country/Region/World","ISO","Sex","Year","Prevalence of raised blood pressure","Lower 95% uncertainty interval","Upper 95% uncertainty interval"
"World",NA,"Men",2014,0.237192356760532,0.212358141534442,0.264151336779014
"World",NA,"Men",2015,0.236994656724376,0.210159703103774,0.266432714274814
"World",NA,"Women",1975,0.245919884379254,0.204090297660901,0.29366592643619
"World",NA,"Women",1976,0.244454677123041,0.20483881680071,0.289136414193441
"World",NA,"Women",1977,0.243000907180003,0.205123792253541,0.285445070117471
"World",NA,"Women",1978,0.241549977337004,0.205610402747118,0.281533084411043
"World",NA,"Women",1979,0.240070484824579,0.205928408610096,0.277789644146048
"World",NA,"Women",1980,0.238549886873416,0.206058064898132,0.274171404718958
"World",NA,"Women",1981,0.236986183769161,0.206030376382599,0.270488172735626
"World",NA,"Women",1982,0.235404584143315,0.206041630335265,0.266897566741772
"World",NA,"Women",1983,0.233836694800777,0.205698011462391,0.26371910796058
"World",NA,"Women",1984,0.232310738939156,0.205860920482162,0.260326779290624
"World",NA,"Women",1985,0.230869168359753,0.205727778583332,0.257539627266597
"World",NA,"Women",1986,0.229502604386438,0.205650301399579,0.255108209474845
"World",NA,"Women",1987,0.228221435942284,0.205507843555103,0.252248845230863
"World",NA,"Women",1988,0.227029572460545,0.205313369965722,0.25002203041342
"World",NA,"Women",1989,0.225935476888571,0.205223611062242,0.247945572031728
"World",NA,"Women",1990,0.224936467867321,0.205167430205036,0.245688590462034
"World",NA,"Women",1991,0.224000261013177,0.204981357150986,0.2436806149418
"World",NA,"Women",1992,0.22309674543642,0.204956517735094,0.241925324165836
"World",NA,"Women",1993,0.222224538346891,0.204921035016452,0.240154299482993
"World",NA,"Women",1994,0.221374643236979,0.204847596009357,0.238422941300885
"World",NA,"Women",1995,0.220562500774652,0.204697664821778,0.237041862469971
"World",NA,"Women",1996,0.219757465477227,0.204426243160047,0.235402814830275
"World",NA,"Women",1997,0.218986415894564,0.204054215606064,0.234080863837298
"World",NA,"Women",1998,0.218223007134684,0.203788489203178,0.232864125485222
"World",NA,"Women",1999,0.217445534141491,0.203439979897339,0.231530395207818
"World",NA,"Women",2000,0.216629743324213,0.2031373009517,0.230397833272597
"World",NA,"Women",2001,0.215780867786529,0.20254511381438,0.229314561593029
"World",NA,"Women",2002,0.214932722788133,0.201925938260272,0.228504573062038
"World",NA,"Women",2003,0.214082510979215,0.201139930923952,0.227635757179193
"World",NA,"Women",2004,0.213238414971845,0.200275724491245,0.226477396416016
"World",NA,"Women",2005,0.212442226673616,0.199382496526162,0.225722082637853
"World",NA,"Women",2006,0.211691527201132,0.198486703513389,0.225212370487243
"World",NA,"Women",2007,0.211003597715294,0.197346310747864,0.224934976783849
"World",NA,"Women",2008,0.210390275170801,0.196228402962597,0.224809088886198
"World",NA,"Women",2009,0.209878734098461,0.194881714077408,0.225290643496465
"World",NA,"Women",2010,0.20946274226705,0.193631494470065,0.2256517647658
"World",NA,"Women",2011,0.209152677402624,0.19219207944039,0.226559573536222
"World",NA,"Women",2012,0.208924126866611,0.190585633592146,0.227762606698283
"World",NA,"Women",2013,0.208775552648538,0.189069006601546,0.229455810502743
"World",NA,"Women",2014,0.208685630373696,0.187216299836044,0.231473005493912
"World",NA,"Women",2015,0.208655105527851,0.185130816906863,0.233735366656265
